274.25,99
,
275.45,99
,
276.45,100
,
277.35,99
,
278.35,99
,
279.35,99
,
280.35,99
,
281.25,100
,
282.25,99
,
283.45,99
,
284.35,99
,
285.35,99
,
286.35,99
,
287.35,99
,
288.25,100
,
289.25,99
,
290.25,100
,
291.45,99
,
292.35,99
,
293.35,99
,
294.35,100
,
295.35,100
,
296.25,99
,
297.25,100
,
298.25,100
,
299.45,100
,
300.35,100
,
301.35,100
,
302.35,100
,
303.35,100
,
304.25,100
,
305.25,100
,
306.45,99
,
307.45,100
,
308.35,100
,
309.35,100
,
310.35,100
,
311.35,99
,
312.25,99
,
313.25,99
,
314.45,100
,
315.45,99
,
316.75,99
,
317.35,100
,
318.35,99
,
319.35,99
,
320.25,99
,
321.25,99
,
322.45,100
,
323.35,99
,
324.35,100
,
325.35,99
,
326.55,100
,
327.25,100
,
328.25,99
,
329.25,99
,
330.45,99
,
331.55,100
,
332.35,99
,
333.35,99
,
334.55,99
,
335.25,99
,
336.25,99
,
337.25,99
,
338.45,99
,
339.35,99
,
340.35,100
,
341.35,99
,
342.35,99
,
343.25,99
,
344.25,100
,
345.45,100
,
346.45,100
,
347.35,99
,
348.35,100
,
349.35,100
,
350.35,100
,
351.25,100
,
352.25,100
,
353.45,100
,
354.45,99
,
355.35,99
,
356.35,100
,
357.35,100
,
358.35,99
,
359.25,99
,
360.25,100
,
361.45,99
,
362.35,99
,
363.35,99
,
364.35,99
,
365.35,99
,
366.25,100
,
367.25,100
,
368.25,100
,
369.45,99
,
370.35,100
,
371.35,100
,
372.55,99
,
373.35,99
,
374.25,99
,
375.25,100
,
376.25,100
,
377.65,99
,
378.35,99
,
379.35,100
,
380.35,100
,
381.35,100
,
382.25,99
,
383.25,100
,
384.45,99
,
385.45,99
,
386.35,100
,
387.35,100
,
388.35,99
,
389.35,99
,
390.25,100
,
391.25,100
,
392.45,100
,
393.45,99
,
394.35,100
,
395.35,99
,
396.35,100
,
397.35,100
,
398.45,100
,
399.25,99
,
400.45,99
,
401.35,99
,
402.35,99
,
403.35,100
,
404.35,100
,
